loc,year,pid
USA,1994,0
USA,1996,1
Australia,1994,2
USA,1992,3
USA,1996,4
USA,1996,5
USA,1995,6
USA,1994,7
USA,1996,8
USA,1997,9
USA,1994,10
USA,1994,11
USA,1993,12
USA,1998,13
Mali,1996,14
USA,1996,15
USA,1996,16
USA,1997,17
USA,1993,18
USA,1997,19
USA,1985,20
USA,1985,21
Lithuania,1991,22
USA,1993,23
USA,1991,24
USA,1995,25
USA,1995,26
USA,1993,27
USA,1995,28
Spain,1991,29
USA,1995,30
USA,1996,31
USA,1997,32
USA,1994,33
USA,1993,34
USA,1996,35
USA,1990,36
USA,1998,37
USA,1998,38
Greece,1996,39
Ukraine,1995,40
USA,1987,41
USA,1996,42
USA,1995,43
USA,1992,44
USA,1995,45
USA,1998,46
USA,1994,47
USA,1995,48
England,1997,49
USA,1997,50
USA,1995,51
USA,1996,52
USA,1994,53
USA,1997,54
USA,1995,55
USA,1995,56
USA,1988,57
USA,1995,58
USA,1998,59
USA,1994,60
USA,1989,61
USA,1995,62
USA,1996,63
USA,1997,64
USA,1989,65
USA,1993,66
USA,1997,67
England,1996,68
USA,1994,69
Croatia,1998,70
USA,1988,71
USA,1989,72
Senegal,1995,73
USA,1998,74
USA,1995,75
USA,1996,76
USA,1992,77
USA,1993,78
USA,1994,79
USA,1995,80
USA,1996,81
USA,1997,82
USA,1998,83
USA,1996,84
Portugal,1994,85
USA,1997,86
USA,1995,87
USA,1998,88
USA,1997,89
Bosnia and Herzegovina,1997,90
USA,1994,91
USA,1993,92
USA,1992,93
England,1993,94
USA,1998,95
Ivory Coast,1993,96
USA,1997,97
USA,1998,98
USA,1998,99
Bahamas,1998,100
USA,1991,101
USA,1997,102
USA,1992,103
USA,1997,104
Greece,1995,105
USA,1997,106
USA,1995,107
USA,1992,108
USA,1992,109
USA,1997,110
France,1995,111
USA,1998,112
USA,1983,113
USA,1995,114
Congo,1993,115
USA,1997,116
USA,1996,117
USA,1996,118
USA,1996,119
USA,1995,120
USA,1998,121
Lithuania,1997,122
USA,1994,123
USA,1992,124
USA,1990,125
USA,1985,126
USA,1990,127
Nigeria,1997,128
USA,1985,129
Greece,1991,130
USA,1992,131
USA,1997,132
USA,1989,133
Greece,1995,134
USA,1987,135
USA,1995,136
Latvia,1993,137
USA,1991,138
USA,1985,139
USA,1986,140
Spain,1988,141
USA,1992,142
USA,1992,143
Spain,1993,144
Montenegro,1989,145
USA,1993,146
Lithuania,1987,147
USA,1993,148
USA,1988,149
Croatia,1990,150
USA,1988,151
USA,1987,152
Spain,1989,153
USA,1992,154
USA,1985,155
France,1998,156
USA,1997,157
USA,1993,158
USA,1990,159
USA,1996,160
USA,1991,161
USA,1989,162
Serbia,1988,163
USA,1991,164
USA,1991,165
USA,1993,166
USA,1993,167
USA,1989,168
USA,1990,169
USA,1994,170
Australia,1988,171
USA,1996,172
USA,1983,173
Canada,1984,174
USA,1996,175
USA,1994,176
USA,1990,177
USA,1987,178
USA,1994,179
Greece,1986,180
USA,1988,181
USA,1991,182
USA,1995,183
Serbia,1991,184
USA,1987,185
Israel,1984,186
USA,1989,187
USA,1997,188
USA,1990,189
USA,1985,190
USA,1991,191
USA,1991,192
USA,1990,193
USA,1992,194
USA,1995,195
USA,1989,196
Montenegro,1998,197
USA,1991,198
USA,1988,199
USA,1994,200
Canada,1990,201
USA,1990,202
USA,1993,203
USA,1994,204
Poland,1990,205
USA,1989,206
USA,1989,207
USA,1991,208
USA,1991,209
USA,1987,210
USA,1997,211
USA,1985,212
USA,1992,213
USA,1989,214
USA,1993,215
USA,1986,216
USA,1989,217
USA,1992,218
USA,1991,219
USA,1987,220
USA,1992,221
USA,1986,222
USA,1987,223
USA,1989,224
USA,1993,225
USA,1991,226
USA,1995,227
New Zealand,1988,228
USA,1992,229
USA,1992,230
USA,1993,231
USA,1985,232
USA,1993,233
Greece,1993,234
USA,1990,235
Greece,1990,236
USA,1988,237
USA,1992,238
USA,1997,239
USA,1991,240
USA,1996,241
USA,1991,242
Senegal,1989,243
USA,1993,244
USA,1995,245
Czech Republic,1993,246
USA,1996,247
USA,1994,248
USA,1988,249
USA,1986,250
USA,1995,251
USA,1992,252
USA,1994,253
USA,1990,254
USA,1992,255
USA,1988,256
USA,1991,257
France,1992,258
Latvia,1993,259
USA,1992,260
USA,1989,261
USA,1986,262
USA,1995,263
Spain,1988,264
USA,1993,265
USA,1996,266
USA,1994,267
USA,1994,268
USA,1990,269
USA,1990,270
USA,1997,271
USA,1993,272
USA,1996,273
Lithuania,1990,274
USA,1989,275
USA,1993,276
USA,1992,277
USA,1988,278
USA,1994,279
USA,1993,280
Canada,1987,281
USA,1993,282
USA,1987,283
USA,1991,284
USA,1990,285
USA,1994,286
