originalTid,ovr,pick,pot,round,skills,tid,year,pid
17,30,27,56,1,[],17,2013,0
20,35,25,59,1,[],20,2016,1
1,34,15,54,2,[],1,2015,2
4,38,18,62,1,[],4,2012,3
20,34,9,61,1,[],20,2015,4
3,31,30,55,1,[],3,2015,5
5,35,19,60,1,[],5,2015,6
0,48,12,60,1,[],0,2016,7
7,22,25,47,2,[],7,2015,8
10,24,23,48,2,[],10,2016,9
8,38,6,62,1,[],8,2013,10
12,31,20,57,1,[],12,2013,11
13,43,12,64,1,['Po'],13,2014,12
25,30,30,56,1,[],25,2017,13
12,47,1,67,1,['B'],12,2015,14
18,35,11,60,1,[],18,2015,15
19,36,16,54,2,[],19,2017,16
9,39,10,65,1,[],9,2017,17
15,59,2,66,1,['3'],15,2015,18
19,37,16,63,1,[],19,2017,19
19,53,2,66,1,"['A', 'Dp']",19,2005,20
9,51,1,74,1,[],9,2004,21
5,51,5,63,1,['B'],5,2012,22
24,36,7,63,1,[],24,2012,23
16,30,17,62,1,[],16,2010,24
28,34,26,56,1,[],28,2014,25
28,44,13,60,1,[],28,2016,26
26,35,4,55,2,[],26,2013,27
21,45,29,57,1,[],21,2017,28
19,41,7,64,1,[],19,2010,29
14,34,15,60,1,[],14,2014,30
9,35,10,59,2,[],9,2017,31
22,31,15,59,1,[],22,2016,32
19,37,18,52,2,[],19,2016,33
29,27,1,59,2,[],29,2012,34
28,43,19,62,1,[],28,2017,35
4,32,2,56,2,[],4,2009,36
11,27,9,55,2,[],11,2017,37
29,44,4,63,1,[],29,2017,38
21,37,4,65,1,[],21,2015,39
2,48,3,68,1,[],2,2015,40
15,54,1,71,1,"['A', 'B', 'Dp']",15,2006,41
19,35,18,57,1,[],19,2015,42
12,34,1,57,2,[],12,2015,43
9,29,29,57,1,[],9,2011,44
6,36,7,63,1,[],6,2014,45
5,28,22,59,1,[],5,2017,46
10,27,10,53,2,[],10,2013,47
5,37,5,64,1,[],5,2014,48
11,31,14,59,1,[],11,2016,49
14,34,26,60,1,[],14,2017,50
0,23,24,48,2,[],0,2014,51
3,39,10,62,1,[],3,2016,52
10,36,10,60,1,[],10,2013,53
13,33,28,59,1,[],13,2017,54
13,34,29,58,1,[],13,2015,55
0,28,13,54,2,[],0,2015,56
9,25,22,50,2,[],9,2007,57
27,38,11,61,1,['A'],27,2014,58
22,35,6,65,1,[],22,2017,59
1,45,15,60,1,"['3', 'Ps']",1,2015,60
13,31,15,54,2,[],13,2009,61
10,28,29,57,1,[],10,2014,62
26,38,22,58,1,[],26,2016,63
19,32,18,58,1,[],19,2016,64
6,29,13,54,2,[],6,2008,65
11,52,6,63,1,[],11,2014,66
24,48,2,67,1,['Ps'],24,2017,67
14,30,24,57,1,[],14,2015,68
8,39,25,58,1,[],8,2014,69
15,30,14,62,1,[],15,2017,70
23,28,3,56,2,[],23,2007,71
26,35,28,61,1,[],26,2009,72
22,42,1,70,1,[],22,2014,73
16,41,3,66,1,[],16,2017,74
2,34,3,56,2,[],2,2015,75
10,31,23,55,2,[],10,2017,76
6,36,21,52,2,[],6,2013,77
13,29,29,49,2,[],13,2013,78
9,27,26,57,1,[],9,2013,79
29,29,18,60,1,[],29,2014,80
5,34,22,54,2,[],5,2017,81
21,27,2,56,2,[],21,2016,82
17,34,20,59,1,[],17,2017,83
2,59,1,72,1,['A'],2,2016,84
11,31,25,56,1,[],11,2013,85
24,37,2,56,2,[],24,2017,86
4,37,9,62,1,['A'],4,2014,87
27,34,25,57,1,[],27,2017,88
27,41,6,62,1,[],27,2016,89
24,31,27,56,1,[],24,2016,90
0,45,13,61,1,['R'],0,2015,91
2,36,26,58,1,[],2,2012,92
18,34,18,59,1,[],18,2011,93
14,38,8,63,1,[],14,2013,94
3,38,7,63,1,['3'],3,2017,95
1,34,11,62,1,[],1,2012,96
18,39,18,61,1,[],18,2017,97
16,23,3,57,2,[],16,2017,98
17,27,20,51,2,[],17,2017,99
8,36,5,65,1,[],8,2017,100
21,48,14,60,1,['R'],21,2013,101
7,37,21,61,1,[],7,2017,102
2,27,5,55,2,[],2,2011,103
9,32,17,58,1,[],9,2016,104
0,34,24,57,1,['Po'],0,2014,105
6,47,3,68,1,[],6,2016,106
18,30,20,54,2,[],18,2016,107
14,39,19,61,1,[],14,2012,108
17,34,15,60,1,[],17,2011,109
14,32,9,61,1,[],14,2016,110
21,60,2,69,1,['Ps'],21,2016,111
0,33,15,61,1,['R'],0,2017,112
5,43,28,58,1,[],5,2004,113
23,27,28,47,2,[],23,2015,114
25,31,15,54,2,[],25,2013,115
12,26,19,49,2,[],12,2016,116
17,37,11,62,1,[],17,2016,117
24,34,12,60,1,[],24,2015,118
18,25,11,52,2,[],18,2015,119
25,33,22,58,1,[],25,2014,120
11,32,9,64,1,[],11,2017,121
20,53,1,71,1,[],20,2017,122
19,45,3,67,1,[],19,2014,123
15,41,1,55,2,[],15,2013,124
14,34,24,59,1,[],14,2009,125
22,38,13,62,1,[],22,2004,126
2,32,25,59,1,[],2,2009,127
2,27,1,56,2,[],2,2016,128
26,32,11,55,2,[],26,2005,129
5,42,5,57,2,[],5,2012,130
29,33,19,59,1,['B'],29,2011,131
4,35,4,64,1,[],4,2016,132
15,32,7,63,1,[],15,2008,133
11,30,20,51,2,[],11,2015,134
6,45,13,62,1,[],6,2008,135
3,26,17,51,2,[],3,2014,136
5,36,5,59,2,[],5,2014,137
16,40,9,56,2,[],16,2013,138
8,38,4,58,2,[],8,2006,139
6,27,24,51,2,[],6,2006,140
24,25,27,59,1,[],24,2007,141
8,26,10,53,2,[],8,2011,142
20,25,21,49,2,[],20,2011,143
12,33,25,59,1,[],12,2012,144
13,49,24,57,1,[],13,2011,145
10,34,17,60,1,['Po'],10,2012,146
0,46,6,66,1,['3'],0,2007,147
8,27,10,54,2,[],8,2012,148
6,36,16,54,2,[],6,2009,149
29,29,16,56,2,[],29,2010,150
26,32,4,55,2,[],26,2007,151
16,32,21,57,1,[],16,2006,152
8,38,18,62,1,[],8,2009,153
15,31,16,60,1,[],15,2011,154
-1,32,0,49,0,[],-1,2007,155
23,35,24,57,1,[],23,2017,156
0,28,12,53,2,[],0,2016,157
19,30,6,56,2,[],19,2012,158
21,29,19,61,1,[],21,2009,159
2,52,8,62,1,[],2,2017,160
9,26,20,52,2,[],9,2010,161
3,37,21,62,1,['Po'],3,2009,162
23,46,3,64,1,['B'],23,2007,163
17,33,13,62,1,[],17,2010,164
10,34,21,60,1,[],10,2010,165
29,45,1,68,1,[],29,2012,166
6,32,15,61,1,[],6,2012,167
11,37,5,56,2,['Po'],11,2009,168
2,55,5,64,1,['3'],2,2011,169
0,32,17,58,1,[],0,2013,170
24,54,1,67,1,['A'],24,2008,171
5,24,19,50,2,[],5,2015,172
1,46,18,61,1,[],1,2004,173
22,43,6,64,1,['B'],22,2003,174
4,48,12,63,1,[],4,2017,175
20,43,10,63,1,[],20,2014,176
13,35,15,62,1,[],13,2009,177
29,33,2,59,2,[],29,2007,178
-1,21,0,37,0,[],-1,2013,179
21,36,23,54,2,[],21,2008,180
22,49,5,65,1,['B'],22,2008,181
29,34,16,61,1,[],29,2010,182
17,34,14,60,1,[],17,2014,183
27,31,1,58,2,[],27,2010,184
23,42,2,57,2,[],23,2008,185
4,51,3,66,1,[],4,2005,186
11,31,18,60,1,[],11,2008,187
7,31,24,57,1,[],7,2016,188
10,32,21,53,2,[],10,2010,189
6,34,12,63,1,[],6,2004,190
11,44,8,64,1,[],11,2011,191
16,44,28,59,1,[],16,2012,192
10,33,20,60,1,[],10,2009,193
15,54,1,67,1,[],15,2013,194
-1,20,0,41,0,[],-1,2014,195
8,29,4,56,2,[],8,2008,196
3,31,7,54,2,[],3,2017,197
2,28,30,59,1,[],2,2010,198
25,51,14,61,1,['Ps'],25,2010,199
-1,32,0,39,0,[],-1,2016,200
7,42,22,60,1,[],7,2010,201
28,38,11,62,1,[],28,2009,202
20,36,30,57,1,[],20,2012,203
9,51,2,68,1,[],9,2014,204
28,41,25,60,1,[],28,2011,205
13,32,24,58,1,[],13,2008,206
-1,33,0,45,0,[],-1,2011,207
28,34,15,61,1,[],28,2010,208
3,46,2,67,1,"['A', 'B', 'Dp']",3,2010,209
16,45,11,64,1,[],16,2007,210
14,25,9,54,2,[],14,2016,211
2,31,13,54,2,[],2,2005,212
24,48,2,68,1,[],24,2011,213
0,44,10,63,1,[],0,2009,214
26,43,19,61,1,[],26,2014,215
25,50,1,67,1,"['Po', 'R']",25,2005,216
26,28,16,54,2,[],26,2008,217
17,30,8,59,2,[],17,2012,218
27,54,1,73,1,"['B', 'Dp']",27,2010,219
4,36,13,60,1,[],4,2006,220
19,37,9,63,1,[],19,2011,221
29,55,2,68,1,"['Di', 'R']",29,2007,222
20,32,15,60,1,[],20,2006,223
23,43,2,68,1,[],23,2008,224
6,37,7,58,2,[],6,2014,225
23,46,11,62,1,[],23,2011,226
22,30,22,61,1,[],22,2015,227
7,33,25,60,1,[],7,2008,228
19,44,6,64,1,[],19,2012,229
5,26,7,55,2,[],5,2011,230
9,33,27,58,1,[],9,2012,231
25,56,5,64,1,[],25,2007,232
9,25,27,47,2,[],9,2012,233
6,26,15,51,2,[],6,2012,234
6,48,6,66,1,[],6,2010,235
5,35,23,59,1,[],5,2009,236
5,40,15,61,1,['A'],5,2008,237
10,24,12,53,2,[],10,2011,238
8,24,7,55,2,[],8,2016,239
17,27,13,55,2,[],17,2010,240
25,32,21,57,1,[],25,2015,241
3,36,30,58,1,[],3,2011,242
18,31,30,56,1,[],18,2008,243
25,35,16,60,1,[],25,2012,244
12,32,8,64,1,[],12,2014,245
15,28,2,58,2,[],15,2012,246
28,30,13,55,2,[],28,2016,247
28,33,3,65,1,[],28,2013,248
3,32,21,60,1,[],3,2007,249
21,46,6,65,1,[],21,2006,250
13,34,21,51,2,[],13,2016,251
1,24,27,59,1,[],1,2011,252
18,37,5,63,1,[],18,2013,253
18,45,8,64,1,[],18,2010,254
12,32,1,56,2,[],12,2011,255
13,27,13,54,2,[],13,2007,256
24,42,3,68,1,[],24,2010,257
-1,23,0,40,0,[],-1,2012,258
0,34,24,59,1,[],0,2012,259
26,35,13,60,1,[],26,2011,260
0,35,8,62,1,[],0,2008,261
11,31,20,60,1,[],11,2005,262
7,34,4,65,1,[],7,2014,263
27,27,24,47,2,[],27,2007,264
11,36,14,60,1,[],11,2012,265
-1,19,0,41,0,[],-1,2015,266
22,34,19,57,1,[],22,2013,267
5,31,11,61,1,[],5,2013,268
21,37,14,53,2,[],21,2011,269
3,33,30,48,2,[],3,2011,270
27,28,25,51,2,[],27,2017,271
1,40,13,60,1,[],1,2013,272
22,30,15,55,2,[],22,2016,273
19,33,7,57,2,[],19,2010,274
1,44,29,60,1,['3'],1,2010,275
17,38,8,62,1,[],17,2012,276
17,27,15,51,2,[],17,2011,277
29,42,1,58,2,[],29,2009,278
